cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
506,11311241827496,11311241888320,11311241924206,60.824,35.886,96.710,0
507,11311261827496,11311261888327,11311261924212,60.831,35.885,96.716,0
508,11311281827496,11311281888125,11311281924010,60.629,35.885,96.514,0
509,11311301827496,11311301888027,11311301923912,60.531,35.885,96.416,0
510,11311321827496,11311321888502,11311321924388,61.006,35.886,96.892,0
511,11311341827496,11311341888092,11311341923977,60.596,35.885,96.481,0
512,11311361827496,11311361888463,11311361924348,60.967,35.885,96.852,0
513,11311381827496,11311381890136,11311381926021,62.640,35.885,98.525,0
514,11311401827496,11311401888945,11311401924882,61.449,35.937,97.386,0
515,11311421827496,11311421888066,11311421924003,60.570,35.937,96.507,0
516,11311441827496,11311441888124,11311441924009,60.628,35.885,96.513,0
517,11311461827496,11311461888391,11311461924328,60.895,35.937,96.832,0
518,11311481827496,11311481888085,11311481923970,60.589,35.885,96.474,0
519,11311501827496,11311501888195,11311501924081,60.699,35.886,96.585,0
520,11311521827496,11311521888045,11311521923931,60.549,35.886,96.435,0
521,11311541827496,11311541888364,11311541924250,60.868,35.886,96.754,0
522,11311561827496,11311561888110,11311561923996,60.614,35.886,96.500,0
523,11311581827496,11311581888065,11311581923950,60.569,35.885,96.454,0
524,11311601827496,11311601888488,11311601924373,60.992,35.885,96.877,0
525,11311621827496,11311621888130,11311621924015,60.634,35.885,96.519,0
526,11311641827496,11311641888969,11311641924855,61.473,35.886,97.359,0
527,11311661827496,11311661887830,11311661923715,60.334,35.885,96.219,0
528,11311681827496,11311681887888,11311681923774,60.392,35.886,96.278,0
529,11311701827496,11311701888155,11311701924040,60.659,35.885,96.544,0
530,11311721827496,11311721888318,11311721924203,60.822,35.885,96.707,0
531,11311741827496,11311741888012,11311741923897,60.516,35.885,96.401,0
532,11311761827496,11311761888070,11311761923955,60.574,35.885,96.459,0
533,11311781827496,11311781899899,11311781936514,72.403,36.615,109.018,0
534,11311801827496,11311801916833,11311801953291,89.337,36.458,125.795,0
535,11311821827496,11311821891787,11311821928037,64.291,36.250,100.541,0
536,11311841827496,11311850018056,11311850054045,8190.560,35.989,8226.549,0
537,11311861827496,11311861890810,11311861926748,63.314,35.938,99.252,0
538,11311881827496,11311881889619,11311881925504,62.123,35.885,98.008,0
539,11311901827496,11311901889573,11311901925511,62.077,35.938,98.015,0
540,11311921827496,11311921889788,11311921925725,62.292,35.937,98.229,0
541,11311941827496,11311941915940,11311941952086,88.444,36.146,124.590,0
542,11311961827496,11311961894749,11311961930790,67.253,36.041,103.294,0
543,11311981827496,11311981889755,11311981925640,62.259,35.885,98.144,0
544,11312001827496,11312001889918,11312001925855,62.422,35.937,98.359,0
545,11312021827496,11312021890549,11312021926434,63.053,35.885,98.938,0
546,11312041827496,11312041889566,11312041925503,62.070,35.937,98.007,0
547,11312061827496,11312061889520,11312061925405,62.024,35.885,97.909,0
548,11312081827496,11312081889787,11312081925724,62.291,35.937,98.228,0
549,11312101827496,11312101889325,11312101925210,61.829,35.885,97.714,0
550,11312121827496,11312121889331,11312121925216,61.835,35.885,97.720,0
551,11312141827496,11312141889337,11312141925223,61.841,35.886,97.727,0
552,11312161827496,11312161890021,11312161925906,62.525,35.885,98.410,0
553,11312181827496,11312181889663,11312181925600,62.167,35.937,98.104,0
554,11312201827496,11312201888627,11312201924565,61.131,35.938,97.069,0
555,11312221827496,11312221888217,11312221924102,60.721,35.885,96.606,0
556,11312241827496,11312241888223,11312241924161,60.727,35.938,96.665,0
557,11312261827496,11312261888230,11312261924115,60.734,35.885,96.619,0
558,11312281827496,11312281888080,11312281923965,60.584,35.885,96.469,0
559,11312301827496,11312301888086,11312301923972,60.590,35.886,96.476,0
560,11312321827496,11312321888457,11312321924343,60.961,35.886,96.847,0
561,11312341827496,11312341889505,11312341925391,62.009,35.886,97.895,0
562,11312361827496,11312361888314,11312361924199,60.818,35.885,96.703,0
563,11312381827496,11312381888216,11312381924101,60.720,35.885,96.605,0
564,11312401827496,11312401888275,11312401924160,60.779,35.885,96.664,0
565,11312421827496,11312421888125,11312421924010,60.629,35.885,96.514,0
566,11312441827496,11312441888444,11312441924329,60.948,35.885,96.833,0
567,11312461827496,11312461888398,11312461924283,60.902,35.885,96.787,0
568,11312481827496,11312481888092,11312481924029,60.596,35.937,96.533,0
569,11312501827496,11312501889348,11312501925233,61.852,35.885,97.737,0
570,11312521827496,11312521890188,11312521926073,62.692,35.885,98.577,0
