cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
866,11403027589375,11403027599294,11403027635284,9.919,35.990,45.909,0
867,11403047589375,11403047598154,11403047634091,8.779,35.937,44.716,0
868,11403067589375,11403067599149,11403067635034,9.774,35.885,45.659,0
869,11403087589375,11403087598112,11403087634050,8.737,35.938,44.675,0
870,11403107589375,11403107597805,11403107633690,8.430,35.885,44.315,0
871,11403127589375,11403127598019,11403127633904,8.644,35.885,44.529,0
872,11403147589375,11403147597972,11403147633857,8.597,35.885,44.482,0
873,11403167589375,11403167598081,11403167634019,8.706,35.938,44.644,0
874,11403187589375,11403187598035,11403187633920,8.660,35.885,44.545,0
875,11403207589375,11403207597779,11403207633717,8.404,35.938,44.342,0
876,11403227589375,11403227597993,11403227633878,8.618,35.885,44.503,0
877,11403247589375,11403247597790,11403247633675,8.415,35.885,44.300,0
878,11403267589375,11403267597743,11403267633628,8.368,35.885,44.253,0
879,11403287589375,11403287635405,11403287672071,46.030,36.666,82.696,0
880,11403307589375,11403307607702,11403307643795,18.327,36.093,54.420,0
881,11403327589375,11403327598384,11403327634426,9.009,36.042,45.051,0
882,11403347589375,11403347598233,11403347634118,8.858,35.885,44.743,0
883,11403367589375,11403367598655,11403367634540,9.280,35.885,45.165,0
884,11403387589375,11403387598087,11403387633973,8.712,35.886,44.598,0
885,11403407589375,11403407599655,11403407635540,10.280,35.885,46.165,0
886,11403427589375,11403427598046,11403427633931,8.671,35.885,44.556,0
887,11403447589375,11403447598051,11403447633936,8.676,35.885,44.561,0
888,11403467589375,11403467598942,11403467634827,9.567,35.885,45.452,0
889,11403487589375,11403487598114,11403487634051,8.739,35.937,44.676,0
890,11403507589375,11403507598067,11403507633952,8.692,35.885,44.577,0
891,11403527589375,11403527598228,11403527634114,8.853,35.886,44.739,0
892,11403547589375,11403547597817,11403547633754,8.442,35.937,44.379,0
893,11403567589375,11403567597874,11403567633760,8.499,35.886,44.385,0
894,11403587589375,11403587598088,11403587633973,8.713,35.885,44.598,0
895,11403607589375,11403607597885,11403607633770,8.510,35.885,44.395,0
896,11403627589375,11403627598151,11403627634036,8.776,35.885,44.661,0
897,11403647589375,11403647598052,11403647633937,8.677,35.885,44.562,0
