cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
919,10504120387628,10504120410071,10504120493872,22.443,83.801,106.244,0
920,10504140387628,10504140409218,10504140493019,21.590,83.801,105.391,0
921,10504160387628,10504160410084,10504160493885,22.456,83.801,106.257,0
922,10504180387628,10504180419751,10504180503553,32.123,83.802,115.925,0
923,10504200387628,10504200409732,10504200493430,22.104,83.698,105.802,0
924,10504220387628,10504220409296,10504220493098,21.668,83.802,105.470,0
925,10504240387628,10504240408860,10504240492661,21.232,83.801,105.033,0
926,10504260387628,10504260410090,10504260493892,22.462,83.802,106.264,0
927,10504280387628,10504280420018,10504280503768,32.390,83.750,116.140,0
928,10504300387628,10504300406926,10504300490780,19.298,83.854,103.152,0
929,10504320387628,10504320447427,10504320531698,59.799,84.271,144.070,0
930,10504340387628,10504340433553,10504340518241,45.925,84.688,130.613,0
931,10504360387628,10504360425148,10504360509784,37.520,84.636,122.156,0
932,10504380387628,10504380404087,10504380487993,16.459,83.906,100.365,0
933,10504400387628,10504400398964,10504400461984,11.336,63.020,74.356,0
934,10504420387628,10504420403944,10504420466860,16.316,62.916,79.232,0
935,10504440387628,10504440401216,10504440464028,13.588,62.812,76.400,0
936,10504460387628,10504460400728,10504460463540,13.100,62.812,75.912,0
937,10504480387628,10504480400708,10504480463521,13.080,62.813,75.893,0
938,10504500387628,10504500405376,10504500489126,17.748,83.750,101.498,0
939,10504520387628,10504520405669,10504520489471,18.041,83.802,101.843,0
940,10504540387628,10504540411014,10504540494764,23.386,83.750,107.136,0
941,10504560387628,10504560409693,10504560493442,22.065,83.749,105.814,0
942,10504580387628,10504580409881,10504580493683,22.253,83.802,106.055,0
943,10504600387628,10504600405956,10504600489653,18.328,83.697,102.025,0
944,10504620387628,10504620409686,10504620493436,22.058,83.750,105.808,0
945,10504640387628,10504640407166,10504640490968,19.538,83.802,103.340,0
946,10504660387628,10504660410689,10504660494438,23.061,83.749,106.810,0
947,10504680387628,10504680409419,10504680493169,21.791,83.750,105.541,0
948,10504700387628,10504700407212,10504700490962,19.584,83.750,103.334,0
949,10504720387628,10504720409380,10504720493130,21.752,83.750,105.502,0
950,10504740387628,10504740409569,10504740493370,21.941,83.801,105.742,0
951,10504760387628,10504760410382,10504760494184,22.754,83.802,106.556,0
952,10504780387628,10504780408853,10504780492602,21.225,83.749,104.974,0
953,10504800387628,10504800406750,10504800490499,19.122,83.749,102.871,0
954,10504820387628,10504820409803,10504820493553,22.175,83.750,105.925,0
955,10504840387628,10504840409106,10504840492908,21.478,83.802,105.280,0
956,10504860387628,10504860412056,10504860495805,24.428,83.749,108.177,0
957,10504880387628,10504880409223,10504880492973,21.595,83.750,105.345,0
958,10504900387628,10504900406756,10504900490506,19.128,83.750,102.878,0
959,10504920387628,10504920411476,10504920495278,23.848,83.802,107.650,0
960,10504940387628,10504940409998,10504940493800,22.370,83.802,106.172,0
961,10504960387628,10504960417114,10504960501176,29.486,84.062,113.548,0
962,10504980387628,10504980403917,10504980487771,16.289,83.854,100.143,0
963,10505000387628,10505000407752,10505000491605,20.124,83.853,103.977,0
964,10505020387628,10505020410180,10505020493982,22.552,83.802,106.354,0
965,10505040387628,10505040409848,10505040493597,22.220,83.749,105.969,0
966,10505060387628,10505060406755,10505060490505,19.127,83.750,102.877,0
967,10505080387628,10505080409704,10505080493454,22.076,83.750,105.826,0
968,10505100387628,10505100402758,10505100486560,15.130,83.802,98.932,0
969,10505120387628,10505120408311,10505120492113,20.683,83.802,104.485,0
970,10505140387628,10505140410375,10505140494124,22.747,83.749,106.496,0
971,10505160387628,10505160409626,10505160493376,21.998,83.750,105.748,0
972,10505180387628,10505180409763,10505180493564,22.135,83.801,105.936,0
973,10505200387628,10505200407191,10505200491045,19.563,83.854,103.417,0
974,10505220387628,10505220410140,10505220493942,22.512,83.802,106.314,0
975,10505240387628,10505240409287,10505240493037,21.659,83.750,105.409,0
976,10505260387628,10505260410361,10505260494111,22.733,83.750,106.483,0
977,10505280387628,10505280407112,10505280490862,19.484,83.750,103.234,0
978,10505300387628,10505300419801,10505300503551,32.173,83.750,115.923,0
979,10505320387628,10505320406604,10505320490406,18.976,83.802,102.778,0
980,10505340387628,10505340409241,10505340492991,21.613,83.750,105.363,0
981,10505360387628,10505360447607,10505360563023,59.979,115.416,175.395,0
982,10505380387628,10505380434202,10505380518472,46.574,84.270,130.844,0
